,CID,SID,target,Efficacy
519,135693590,49713836,0,135.835
521,135693589,49713835,0,117.866
525,135693585,50126029,0,
531,135693579,50126041,0,
542,135693570,50125963,0,
549,135693563,49713805,0,147.431
988,135616982,49733400,0,118.175
993,135616978,49732734,0,109.871
995,135616977,49732733,0,
999,135616975,49732731,0,94.6405
1409,135546918,49723106,0,118.685
1572,135546756,49722164,0,
1574,135546755,49731794,0,
1576,135546754,24390938,0,
2391,135517183,17515272,0,124.389
3458,135492650,26657681,0,46.2335
4573,135467347,24390072,0,
5062,135458517,49721082,0,77.6113
5064,135458516,49731676,0,
5094,135458488,49715016,0,90.3442
5096,135458487,49715012,0,
5107,135458477,24386743,0,92.042
5109,135458476,49714983,0,
5174,135455197,24390074,0,53.9188
5968,135444779,26755300,0,
6327,135439705,24390096,0,
6487,135437943,24390220,0,
6546,135437068,24416784,0,
6563,135437052,24416109,0,
6566,135437050,24416105,0,
6708,135435941,24390068,0,
7617,135419176,49666993,0,
7627,135419167,24274889,0,38.1099
7631,135419164,14740980,0,47.9302
7660,135419136,24812747,0,49.2162
7665,135419132,49679574,0,
7780,135418296,50106865,0,61.1088
7929,135416485,24268919,0,
7931,135416484,24268843,0,
7933,135416483,49715999,0,90.5495
7958,135416460,24268534,0,
7977,135416442,24267910,0,
7982,135416438,24267584,0,
8279,135413895,24390076,0,
8304,135413738,14740588,0,
8306,135413737,24821719,0,66.8186
8308,135413736,24390128,0,
8319,135413615,24815483,0,64.9128
8343,135413022,24416073,0,
8413,135412230,24823019,0,
8622,135410468,49722548,0,
8626,135410465,49722561,0,
8630,135410462,49722547,0,
8640,135410453,49722411,0,
8642,135410452,49722302,0,
8646,135410449,49722410,0,
8650,135410446,24401746,0,
8694,135410403,49677972,0,
8697,135410401,24400077,0,
8699,135410400,49735483,0,
8702,135410398,24400071,0,
8705,135410396,24400051,0,
8707,135410395,24400049,0,
8709,135410394,24400047,0,
8711,135410393,24400045,0,
8715,135410390,24400039,0,
8723,135410383,49735741,0,105.033
8736,135409468,26752025,0,
8758,135408763,50104429,0,
8761,135408753,14742178,0,
8925,135403792,90341180,0,86.4051
9087,135401907,50105533,0,18.0
9285,135401358,24811058,0,
9423,135400595,14736166,0,133.862
9431,135400471,56314764,0,
9556,135398745,26750094,0,
9559,135398744,26748898,0,
9562,135398742,56422581,0,116.251
9564,135398740,50106328,0,15.5
9568,135398739,26719672,0,
9570,135398738,17389952,0,
9572,135398737,50104084,0,
9577,135398700,90341090,0,76.8673
9584,135398579,56462995,0,74.2715
9588,135398513,855732,0,58.8994
10045,54692789,22405916,0,135.339
10048,54692223,24267778,0,
10050,54692222,24268094,0,
10052,54692221,24784851,0,139.435
10054,54692220,24268084,0,
10429,54681795,24268082,0,
10432,54681793,24268088,0,
10558,54679302,50106476,0,18.5
10598,54677972,855966,0,111.618
10600,54677971,11533043,0,114.888
10625,54677470,855815,0,
10643,54676905,50104801,0,78.2568
10694,54675964,49722587,0,96.1258
11061,44543710,87226389,0,
11449,44143948,85148607,0,
11451,44143947,85148606,0,
11453,44143946,85148605,0,
12105,44142411,85736408,0,
12155,44142351,85736386,0,
12157,44142350,85736385,0,
12159,44142349,85736384,0,59.1681
12161,44142348,85736382,0,87.9325
12163,44142347,85736387,0,45.3555
12165,44142346,85736377,0,
12167,44142345,85736376,0,
12169,44142344,85736375,0,
12171,44142343,85736369,0,
12173,44142342,85736368,0,
12175,44142341,85736367,0,
12177,44142340,85736380,0,
12180,44142338,85146477,0,
12191,44142326,85146459,0,
12334,44142070,85736316,0,149.193
12336,44142069,85239736,0,42.9476
12338,44142068,85239734,0,
12342,44142065,85239729,0,
12349,44142059,85239714,0,
12352,44142057,85239722,0,
12355,44142055,85146082,0,
12361,44142050,85239710,0,
12366,44142046,85239706,0,
12368,44142045,85239703,0,
12370,44142044,85239701,0,
12372,44142043,85239740,0,
20772,24867479,50105923,0,20.5
24139,24793380,49733398,0,128.498
27302,24789250,49713823,0,141.286
28593,24746791,49640817,0,74.9649
30212,23986637,90341194,0,34.8796
31128,23704143,11112986,0,
31192,23681234,50106638,0,43.3005
31198,23681059,50106619,0,10.0
31223,23675322,855770,0,100.726
31253,23669145,24782965,0,92.7988
31256,23668244,50106431,0,25.0
31270,23666711,855824,0,101.351
31294,23663628,26747850,0,
31300,23662354,26748569,0,
39263,17757080,85146172,0,
39265,17757075,85146171,0,
39507,17756794,11532947,0,
39519,17756783,29215416,0,
39527,17756774,29215223,0,
42050,16760703,50106736,0,
42078,16760136,26757084,0,46.5066
42144,16759993,26756509,0,
42146,16759992,26756508,0,
42148,16759991,26756506,0,
42150,16759990,26756504,0,
42153,16759987,29216415,0,
42166,16759975,26756454,0,
42230,16759595,26755729,0,
42248,16759357,26754893,0,
42250,16759356,26754889,0,
42257,16759251,26753607,0,10.5
42261,16759247,50106135,0,14.5
42268,16758831,26752260,0,
42337,16757999,26749457,0,
42379,16757957,26749400,0,
42392,16757944,26749385,0,
42508,16757801,26748709,0,
42549,16757742,26748303,0,
42573,16757702,50107028,0,24.0
42615,16757640,26747886,0,
42715,16746589,26732611,0,
43865,16738693,56422891,0,
43878,16717706,26670148,0,134.157
43880,16717704,26669673,0,179.332
51092,16220118,11113042,0,
52049,16196147,24829750,0,
54727,16192954,24826494,0,50.5578
59043,16187200,24791590,0,
59265,16066635,24708169,0,
59557,16060049,29215682,0,48.0191
59561,16060046,24708147,0,108.304
59565,16060043,29215778,0,170.659
59567,16060042,24708025,0,72.9879
59569,16060041,29215664,0,186.114
59574,16060037,24707791,0,157.215
59590,16060022,29215750,0,95.6095
59594,16060019,29215735,0,28.5632
59604,16060010,24708206,0,50.7081
59648,16034816,49669529,0,
59650,16034815,49736132,0,
59683,16034779,49719637,0,
59689,16034774,49735677,0,28.3864
59718,16034746,49719572,0,
59724,16034741,49717520,0,
59765,16034697,49720091,0,
59768,16034695,49720061,0,
59793,16034671,49736202,0,58.6308
59797,16034668,49824600,0,
59804,16034662,49735889,0,
59829,16034637,49736204,0,
59848,16034619,49736144,0,
59850,16034618,49731707,0,
59852,16034617,49731706,0,
59855,16034615,49731703,0,
59873,16034598,49736040,0,
59879,16034592,49719681,0,
59881,16034591,49719588,0,
59888,16034585,49717718,0,
59898,16034575,49723777,0,40.9709
59913,16034561,24416842,0,156.861
59934,16034541,49722416,0,
59936,16034540,49669335,0,51.9723
59993,16034483,49735604,0,
59997,16034480,24788667,0,
60000,16034478,49717199,0,48.3648
60008,16034472,49717205,0,
60010,16034471,49815965,0,
60012,16034470,49815922,0,
60015,16034468,49736538,0,
60020,16034464,49717204,0,
60024,16034461,49717006,0,
60027,16034459,49716857,0,
60108,16034376,49735317,0,
60164,16034321,24415879,0,
60188,16034298,49717032,0,
60191,16034296,24823028,0,
60201,16034287,24415744,0,
60208,16034281,49732857,0,
60210,16034280,49717138,0,
60221,16034270,24415704,0,
60227,16034265,24415693,0,88.07
60236,16034257,49717232,0,
60239,16034255,49669246,0,
60245,16034250,49717236,0,
60253,16034243,49717395,0,
60259,16034238,24415564,0,
60261,16034237,24415562,0,
60263,16034236,49717454,0,
60266,16034234,49717276,0,
60268,16034233,49734313,0,
60270,16034232,24415539,0,
60272,16034231,24415537,0,
60277,16034227,49731344,0,
60280,16034225,49717359,0,
60283,16034223,49717355,0,
60285,16034222,49734610,0,
60288,16034220,24415485,0,
60290,16034219,24812318,0,
60410,16034100,24814244,0,54.2425
60442,16034069,24414826,0,
60648,16033863,49716964,0,
60661,16033851,24812543,0,
60691,16033822,24811868,0,
60693,16033821,24811830,0,
60696,16033819,24811982,0,
60700,16033816,24822692,0,
60711,16033806,24811952,0,
60713,16033805,24811913,0,
60716,16033803,24811725,0,
60781,16033739,49669267,0,
60801,16033720,49717702,0,
60805,16033717,49669684,0,81.5491
60807,16033716,24413694,0,
60809,16033714,24413678,0,46.3543
60812,16033712,49717701,0,
60924,16033601,49716829,0,
60926,16033600,49716824,0,
60928,16033599,24413492,0,
60931,16033597,49734951,0,
60958,16033571,49734946,0,
60963,16033567,49716688,0,
60966,16033565,24413457,0,
60969,16033563,49716679,0,
60988,16033545,49716673,0,
60991,16033543,49734948,0,
60994,16033541,49717819,0,
61003,16033533,24413425,0,
61027,16033510,24413401,0,
61094,16033444,49670679,0,128.717
61151,16033388,49735382,0,
61154,16033386,49716940,0,
61157,16033384,49730859,0,100.624
61397,16033114,24412976,0,
61400,16033112,49736078,0,
61419,16033094,24412956,0,
61424,16033090,49735070,0,
61429,16033086,49735081,0,
61600,16032916,51089453,0,
62207,16032273,24411755,0,
62213,16032268,24411749,0,
62406,16032070,24411486,0,63.2922
62434,16032043,49719740,0,
62439,16032039,49719729,0,40.6985
62442,16032037,24411438,0,
62548,16031932,51090786,0,
62610,16031870,49719823,0,
62613,16031868,49732136,0,133.131
62615,16031867,49732137,0,93.4314
62618,16031865,49719734,0,
62621,16031863,49719643,0,
62631,16031854,51089211,0,
62663,16031823,49719830,0,
62670,16031817,49730845,0,148.106
62673,16031815,24410807,0,
62708,16031782,49719727,0,
62711,16031780,49719648,0,
62742,16031750,49719837,0,108.882
62747,16031746,49719739,0,
62750,16031744,49732138,0,
62753,16031742,49719726,0,
62756,16031740,49719647,0,
62778,16031719,49719642,0,
62781,16031717,49732141,0,
62789,16031710,49670246,0,
63734,16030745,24409590,0,102.671
63862,16030616,51087393,0,
64256,16030223,24408970,0,
64259,16030221,24408968,0,
64262,16030219,24408966,0,
64265,16030217,24408964,0,
64533,16029883,24408603,0,
64536,16029881,24408601,0,
64539,16029879,49720131,0,121.14
64542,16029877,24408597,0,
64571,16029849,24408569,0,
64599,16029822,24408542,0,
64611,16029811,24408531,0,
64644,16029779,24408499,0,
64673,16029751,24408471,0,
64676,16029749,24408469,0,
64699,16029727,24408447,0,
64704,16029723,24408443,0,
64713,16029715,24408435,0,
64716,16029713,24408433,0,
64727,16029703,24408423,0,
64737,16029695,24408415,0,
64740,16029693,24408413,0,
