,CID,SID,target,Efficacy
19,135915053,56319965,1,163.334
20,135915052,56318992,1,109.521
43,135900543,51086642,1,98.1573
46,135900540,51086515,1,146.98
64,135897134,56318894,1,163.041
104,135873472,50107091,1,109.723
133,135870953,56323979,1,136.686
135,135870951,56323878,1,124.187
142,135870944,56321896,1,140.384
143,135870943,56321669,1,96.6138
152,135870934,56321380,1,97.2174
153,135870933,56321228,1,171.173
160,135858585,56324115,1,104.669
161,135858574,56319458,1,131.022
174,135856003,26729454,1,72.9655
179,135855998,26724206,1,123.011
214,135845987,26660913,1,147.317
228,135831471,51087710,1,157.029
241,135829861,49679361,1,174.885
243,135829859,49679243,1,127.196
246,135829855,49678827,1,135.886
247,135829854,49678797,1,133.897
252,135829849,49673210,1,189.224
256,135829845,49670054,1,147.289
258,135825093,26658783,1,166.868
260,135825091,26658657,1,165.028
265,135819602,57256422,1,136.856
278,135810472,49673275,1,189.54
287,135799467,57260684,1,202.558
288,135796573,56323643,1,115.388
310,135779765,26670901,1,81.7979
324,135775936,56314692,1,80.4527
325,135768630,56322988,1,164.525
326,135768629,56317231,1,110.345
330,135760828,56320029,1,145.396
343,135759036,26666271,1,113.507
345,135755225,49647578,1,141.367
348,135755221,49642630,1,147.261
370,135745100,49668801,1,176.972
378,135735445,49828124,1,182.753
385,135735436,49827091,1,219.577
390,135735431,49823557,1,153.849
391,135735430,49823554,1,177.699
401,135732110,51090343,1,87.1433
415,135732031,51087214,1,157.606
435,135716008,49675085,1,180.428
453,135706571,26671546,1,102.062
465,135706190,57255916,1,120.038
490,135697633,57260598,1,106.089
500,135696955,49668274,1,142.11
501,135696954,49668821,1,174.389
504,135693607,49715871,1,188.31
509,135693600,49715838,1,156.699
514,135693595,49714704,1,149.64
516,135693593,49714060,1,149.93
523,135693588,49713833,1,110.401
533,135693578,49713821,1,159.658
561,135693225,49727492,1,104.759
565,135693220,49724757,1,170.713
566,135693218,49724739,1,120.624
581,135693202,49723343,1,122.175
585,135691237,26724200,1,166.658
587,135691202,49675305,1,112.235
592,135691086,26724296,1,181.398
593,135691075,26670610,1,162.629
606,135689013,26667191,1,131.653
607,135688989,57261057,1,140.056
609,135688244,26659931,1,167.294
614,135686547,51086188,1,85.9434
621,135684986,49679463,1,190.801
623,135684904,49649491,1,184.289
628,135684047,49679912,1,124.042
632,135683272,49669805,1,151.355
637,135681143,49724890,1,94.6304
647,135680124,57261374,1,165.995
649,135679290,26724231,1,171.252
650,135679010,49678014,1,176.47
651,135678731,57267531,1,159.612
660,135676326,49671733,1,132.87
665,135676274,49724801,1,159.025
668,135676249,26670539,1,143.618
670,135676232,49680113,1,170.986
673,135676161,49676838,1,190.531
674,135676154,26724336,1,111.451
675,135676152,49680713,1,163.089
678,135676089,49676808,1,153.32
680,135676074,26670628,1,136.058
683,135676000,49675855,1,153.222
685,135675967,49680238,1,174.125
686,135675964,26724340,1,145.678
690,135675930,49672834,1,148.521
693,135675925,26724224,1,133.545
713,135659552,56317079,1,163.739
715,135659329,26670456,1,131.964
725,135656310,49647206,1,170.159
750,135651380,26725710,1,136.592
754,135651186,26670918,1,135.354
757,135651101,26661019,1,116.939
758,135650998,49646391,1,155.899
759,135650969,49667956,1,165.17
760,135650885,49646224,1,138.981
761,135650835,49647531,1,168.555
773,135650685,26667195,1,87.2536
780,135650621,26671416,1,135.022
788,135650521,26670802,1,134.831
790,135650515,49646124,1,219.41
792,135650497,26671414,1,144.798
802,135650412,49715875,1,165.047
805,135650337,26659201,1,131.595
809,135650119,26658658,1,162.971
810,135650114,26659495,1,130.581
821,135648107,49646975,1,139.356
824,135647882,49823562,1,165.917
842,135645018,26671655,1,150.102
851,135643321,47201164,1,129.37
853,135643262,49665389,1,96.5841
860,135642811,49667018,1,94.7358
862,135642382,26726328,1,153.758
871,135641649,26726209,1,147.934
872,135641513,26661703,1,85.3595
873,135641350,49669136,1,131.618
880,135637508,26666388,1,115.118
885,135635893,49667523,1,183.284
886,135635862,26670900,1,113.296
894,135635749,26670926,1,79.4497
895,135635745,26660857,1,117.841
898,135635728,26671218,1,138.016
900,135635691,26671159,1,120.325
901,135635686,49824683,1,150.729
906,135632188,49646862,1,142.397
908,135632169,26671326,1,117.354
909,135632139,26671247,1,150.241
914,135630551,26670805,1,121.137
919,135630339,49647081,1,143.898
921,135630284,49646227,1,139.893
922,135630189,26665778,1,125.575
952,135624201,56463121,1,86.6004
960,135623349,26663376,1,125.147
977,135616991,49735010,1,178.082
991,135616980,49733396,1,153.52
1002,135616973,49731946,1,185.033
1012,135616151,49673643,1,181.698
1016,135615752,26670459,1,144.959
1018,135615569,49669411,1,121.281
1020,135615348,26724437,1,148.107
1021,135615259,49725090,1,173.882
1023,135614927,49678229,1,138.013
1032,135614293,56319822,1,150.789
1033,135614214,49674414,1,127.301
1034,135613834,49647395,1,183.97
1039,135613601,57267443,1,152.607
1040,135613411,49680363,1,223.498
1041,135613375,47200569,1,164.723
1048,135608138,49672668,1,138.371
1052,135607695,26670661,1,147.121
1063,135603284,26671049,1,137.756
1078,135594431,49725128,1,144.734
1080,135592665,26671497,1,111.28
1085,135591260,56321668,1,118.66
1091,135590910,26661977,1,148.453
1093,135590381,49715842,1,123.601
1102,135584609,49669640,1,199.66
1115,135583711,57259212,1,104.604
1123,135583006,56324148,1,114.936
1135,135580037,49668462,1,164.072
1142,135577542,26670592,1,143.392
1149,135576624,49673637,1,167.594
1154,135576476,26658043,1,135.009
1157,135576363,26659045,1,97.969
1187,135562884,49675310,1,120.408
1223,135560818,49680921,1,168.395
1228,135558986,26665575,1,88.8014
1230,135558950,26658842,1,145.26
1234,135558861,26671258,1,104.094
1250,135558015,57269131,1,168.084
1256,135555678,57268611,1,124.331
1261,135555389,26726253,1,137.676
1263,135554597,26725805,1,102.786
1266,135551023,49722414,1,133.995
1289,135550902,49817225,1,120.851
1290,135550900,49817212,1,116.668
1300,135549881,49646108,1,181.114
1301,135549849,26671594,1,93.8198
1303,135549825,49646966,1,118.446
1309,135549787,26726206,1,147.27
1310,135549775,26659907,1,132.861
1311,135549771,26661279,1,130.139
1312,135549760,26658586,1,144.04
1333,135549578,49817216,1,139.042
1340,135549440,26659811,1,149.47
1344,135548689,49648500,1,137.522
1345,135548673,26660233,1,148.788
1360,135547303,49645013,1,145.561
1361,135547301,49644794,1,176.498
1381,135546946,24396390,1,76.5924
1388,135546939,24396330,1,91.6846
1491,135546837,24394186,1,110.328
1588,135546743,24390848,1,96.1071
1605,135546726,24390662,1,108.443
1648,135546055,26725823,1,103.273
1649,135546030,49674139,1,145.263
1655,135545037,26730094,1,116.857
1667,135544851,47204174,1,134.293
1668,135544831,49645114,1,213.805
1672,135544653,4249439,1,115.406
1677,135544648,4247122,1,110.005
1680,135544645,4245856,1,122.338
1705,135543164,26671653,1,133.684
1706,135543163,26726005,1,132.548
1733,135541135,24779690,1,114.285
1752,135541116,24779561,1,142.392
1762,135541106,24779494,1,116.413
1770,135538542,26725971,1,128.671
1784,135537585,47202847,1,95.4176
1801,135536561,49645265,1,149.93
1802,135536560,49641011,1,150.221
1805,135536434,49643744,1,141.566
1806,135536433,49678829,1,157.453
1808,135535982,26662917,1,82.3091
1810,135535958,26669556,1,111.919
1811,135535946,26667134,1,98.6423
1812,135535708,26664438,1,127.504
1821,135534180,49667325,1,145.569
1827,135533700,49824375,1,117.996
1853,135530981,4248256,1,103.031
1872,135527154,49645792,1,165.212
1893,135521778,49715917,1,149.515
1898,135521632,22409893,1,101.805
1902,135521628,22409784,1,103.649
1908,135521622,22409646,1,146.409
1910,135521620,22409555,1,90.9299
1918,135521612,22408769,1,129.08
1929,135521600,22406745,1,170.9
1932,135521597,22406564,1,151.775
1933,135521596,22406561,1,143.216
1935,135521594,22406500,1,149.359
1937,135521592,22406436,1,214.598
1938,135521591,22406344,1,167.812
1939,135521589,22406314,1,171.098
1940,135521588,22406214,1,267.953
1944,135521584,22405956,1,134.756
1945,135521583,22405934,1,181.042
1949,135521579,22405634,1,109.572
1956,135521572,22404632,1,193.546
1974,135521549,22402775,1,173.437
1985,135521538,22402471,1,108.444
1989,135521534,22402388,1,212.951
1993,135521530,22402276,1,165.733
1996,135521526,22402247,1,160.909
2005,135521515,22402177,1,155.335
2008,135521511,22402085,1,157.98
2010,135521509,22402040,1,108.108
2030,135521489,22401748,1,159.357
2034,135521485,22401691,1,190.954
2041,135521478,22401492,1,92.0573
2043,135521476,22401475,1,106.697
2046,135521473,22401456,1,158.863
2049,135521470,22401431,1,215.627
2053,135521466,22401374,1,117.04
2070,135521449,22401285,1,160.547
2071,135521448,22401282,1,147.726
2080,135521439,22401150,1,124.026
2089,135521430,22400901,1,145.747
2098,135521421,22400595,1,82.3945
2102,135521417,22400550,1,153.701
2103,135521415,22400549,1,156.527
2107,135521410,22400519,1,109.841
2115,135521402,22400373,1,98.175
2116,135521318,26661946,1,125.924
2141,135520069,24839438,1,171.115
2142,135520068,24839400,1,109.755
2147,135520062,24838172,1,145.325
2154,135520055,24837910,1,127.183
2155,135520054,24837883,1,121.003
2156,135520053,24837878,1,95.0171
2158,135520051,24837775,1,112.128
2162,135520045,24837421,1,90.3072
2166,135520041,24837163,1,156.268
2167,135520040,24837160,1,192.621
2171,135520036,24837076,1,178.143
2179,135520027,24837012,1,162.643
2195,135520011,24836766,1,159.606
2197,135520006,24836652,1,141.627
2198,135520004,24836649,1,127.752
2199,135520003,24836635,1,132.18
2201,135520001,24836614,1,137.553
2204,135519998,24836489,1,134.144
2206,135519996,24836474,1,121.054
2211,135519991,24836408,1,107.787
2214,135519988,24836365,1,109.798
2215,135519987,24836362,1,105.967
2220,135519980,24836155,1,151.832
2222,135519978,24836141,1,122.549
2223,135519977,24836107,1,129.93
2224,135519976,24836087,1,151.749
2233,135519966,24835812,1,114.761
2235,135519963,24835664,1,132.49
2239,135519959,24835313,1,88.2964
2240,135519958,24835312,1,127.463
2243,135519955,24835280,1,138.279
2245,135519953,24835046,1,133.804
2248,135519950,24834911,1,150.691
2253,135519945,24834765,1,128.098
2254,135519944,24834754,1,152.776
2257,135519941,24834460,1,166.108
2259,135519939,24834394,1,147.497
2263,135519935,24834299,1,147.802
2265,135519933,24834240,1,107.565
2269,135519929,24834098,1,169.036
2272,135519926,24833950,1,134.19
2273,135519925,24833914,1,105.257
2279,135519918,24833810,1,143.22
2282,135519915,24833756,1,111.546
2284,135519913,24833707,1,182.821
2285,135519912,24833664,1,177.476
2287,135519910,24833617,1,129.42
2291,135519906,24833465,1,126.712
2300,135519897,24833225,1,76.3544
2301,135519896,24833185,1,196.621
2304,135519893,24833123,1,129.249
2305,135519892,24833118,1,155.081
2306,135519891,24833088,1,98.3751
2307,135519890,24833084,1,147.917
2313,135519884,24832490,1,108.897
2320,135519873,24831393,1,132.318
2322,135519870,24831169,1,117.718
2323,135519869,24831142,1,140.108
2333,135519857,24830178,1,117.716
2334,135519856,24830071,1,88.1519
2337,135519698,49724859,1,119.792
2357,135517896,26662285,1,87.3735
2366,135517573,49667120,1,146.773
2371,135517207,17517104,1,133.447
2373,135517203,17516985,1,107.82
2377,135517199,17516773,1,130.059
2380,135517196,17516670,1,132.406
2381,135517195,17516616,1,126.908
2383,135517192,17516219,1,184.226
2384,135517191,17516207,1,166.942
2387,135517187,17515618,1,162.644
2395,135517180,17515188,1,162.333
2396,135517179,17515057,1,161.293
2399,135517176,17514903,1,127.246
2401,135517174,17514747,1,96.3337
2427,135517148,17513945,1,137.41
2432,135517143,17513878,1,112.714
2437,135517138,17513763,1,153.941
2438,135517137,17513760,1,187.14
2444,135517131,17513631,1,73.7234
2451,135517124,17513327,1,92.6
2457,135517117,17513230,1,135.089
2471,135517103,17512825,1,94.6879
2472,135517102,17512787,1,85.1443
2479,135517095,17512650,1,125.167
2482,135517092,17512632,1,153.815
2483,135517091,17512602,1,137.953
2486,135517088,17512455,1,130.088
2489,135517085,17512320,1,151.275
2500,135517074,17512196,1,180.017
2515,135517059,17511957,1,156.383
2516,135517058,17511954,1,93.674
2517,135517057,17511953,1,165.981
2529,135517044,17511645,1,134.621
2548,135517024,17511260,1,105.577
2549,135517023,17511259,1,228.807
2551,135517021,17511253,1,198.03
2563,135517008,17511046,1,111.365
2570,135517001,17510915,1,145.133
2589,135516247,24832981,1,160.373
2593,135516114,49645303,1,130.87
2653,135515070,7965774,1,94.8493
2655,135515068,7965642,1,100.631
2674,135513637,865645,1,147.076
2693,135513618,860351,1,219.265
2708,135512442,14747201,1,96.1456
2713,135512437,14746998,1,149.154
2714,135512436,14746896,1,84.187
2716,135512434,14746808,1,125.427
2717,135512433,14746780,1,166.087
2719,135512431,14746711,1,183.811
2723,135512426,14746514,1,148.435
2732,135512415,14745881,1,175.563
2738,135512407,14745573,1,162.423
2739,135512405,14745528,1,202.125
2742,135512399,14745317,1,193.179
2746,135512393,14745102,1,93.1149
2749,135512389,14745060,1,113.105
2751,135512387,14745037,1,114.662
2759,135512379,14744747,1,156.874
2781,135512353,14743208,1,118.395
2783,135512351,14743206,1,135.8
2791,135512343,14742745,1,78.9848
2796,135512338,14742207,1,144.884
2799,135512335,14741973,1,115.482
2804,135512329,14741756,1,143.474
2805,135512328,14741755,1,96.8807
2807,135512323,14741697,1,179.566
2819,135512294,24837891,1,171.055
2820,135512293,26669826,1,103.453
2824,135512264,24835421,1,126.634
2825,135512260,24835443,1,116.418
2826,135512259,24835927,1,164.356
2835,135512225,22407167,1,129.184
2876,135511000,17409157,1,150.826
2887,135510984,17407227,1,139.636
2888,135510981,17406951,1,127.875
2889,135510980,17406914,1,154.009
2893,135510966,17403626,1,157.803
2903,135510955,17401923,1,171.179
2904,135510954,17401910,1,123.19
2932,135510268,24841408,1,115.483
2936,135510264,24841360,1,187.137
2939,135510260,24841217,1,159.864
2943,135510256,24841155,1,102.106
2956,135510243,24840045,1,86.6964
2966,135509384,4261999,1,98.6261
2979,135509000,49716502,1,127.529
2984,135508325,24839324,1,99.222
2987,135507980,26667133,1,113.043
2988,135507174,22406954,1,132.106
2996,135505971,26658725,1,87.4351
2998,135505898,22407819,1,143.703
3014,135505264,47196699,1,117.594
3025,135504452,26670316,1,123.792
3029,135504379,49725840,1,155.686
3049,135502848,26731378,1,143.305
3053,135502475,17408690,1,130.327
3059,135501986,16953946,1,179.665
3066,135501979,16953430,1,177.036
3082,135501956,16952635,1,132.506
3083,135501955,16952588,1,84.2321
3084,135501954,16952572,1,102.811
3086,135501951,16952395,1,131.887
3087,135501919,22403390,1,110.571
3091,135501780,17416093,1,264.68
3093,135501778,17415825,1,149.866
3102,135501768,17413777,1,146.258
3109,135501761,17412225,1,147.91
3114,135501756,17411766,1,139.257
3142,135501448,47202025,1,121.923
3150,135501362,49679199,1,99.4227
3151,135501360,49645855,1,101.456
3152,135501359,49645444,1,168.72
3153,135501338,49665251,1,168.861
3160,135500895,14746374,1,141.69
3187,135498929,49679820,1,117.528
3189,135498869,24835168,1,100.11
3192,135498766,22408115,1,158.054
3194,135498723,24835051,1,84.7192
3204,135498498,26669776,1,166.878
3221,135498051,17508342,1,113.162
3223,135498049,17508153,1,201.928
3238,135498034,17507702,1,124.195
3239,135498032,17507682,1,101.204
3244,135498027,17507270,1,119.183
3247,135498023,17507022,1,93.8987
3248,135498022,17507021,1,132.073
3250,135498019,17506713,1,112.345
3270,135497999,17505799,1,157.087
3273,135497996,17505640,1,220.67
3288,135497981,17505334,1,133.751
3290,135497978,17505239,1,147.077
3294,135497974,17505093,1,82.5199
3303,135497964,17504850,1,206.813
3311,135497956,17504472,1,115.579
3314,135497953,17504318,1,176.539
3326,135497940,17504207,1,202.245
3360,135497428,7969372,1,111.175
3361,135497411,17503933,1,185.343
3385,135495773,49646546,1,226.409
3388,135495660,17505979,1,201.276
3396,135495592,49647035,1,141.305
3407,135495494,14745155,1,159.729
3408,135495483,49641056,1,146.21
3431,135494098,24837833,1,83.6794
