CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
135915053,435.5,C23H25N5O2S,117,2.8,31,2,5,7,CCCN1C(=CC(=C1C)C2=CSC(=N2)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3)C,0,1
135915052,500.6,C23H28N6O5S,172,0.8,35,3,8,11,CCCC1=CC(=O)NC(=N1)SCC(=O)N(CCOC)C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)N,0,1
135900543,449.4,C19H14F3N5O3S,151,2,31,4,9,6,C1=CC(=CC=C1NC(=O)CSC2=NC(=C(C(=O)N2)NC(=O)C3=CC(=C(C=C3)F)F)N)F,0,1
135900540,512.5,C23H24N6O6S,199,0.8,36,5,9,9,CC(=O)NC1=CC=C(C=C1)NC(=O)CSC2=NC(=C(C(=O)N2)NC(=O)C3=CC(=C(C=C3)OC)OC)N,0,1
135897134,502.6,C27H30N6O4,137,1.8,37,3,6,9,CC(C)CN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CCCC3=NC4=CC=CC=C4C(=O)N3,0,1
135873472,314.17,C9H17Cl2N5O3,132,NULL,19,8,6,2,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O.Cl.Cl,0,3
135870953,433.5,C23H23N5O2S,117,2.7,31,2,5,7,CC1=CC(=C(N1CC=C)C)C2=CSC(=N2)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3,0,1
135870951,382.4,C20H19FN4O3,90.9,1.1,28,2,5,6,CN(CC(=O)NC1=CC(=CC=C1)F)C(=O)CCC2=NC3=CC=CC=C3C(=O)N2,0,1
135870944,382.5,C18H14N4O2S2,140,2.2,26,2,6,5,C1=CC=C2C(=C1)C(=O)NC(=N2)CCC(=O)NC3=NC(=CS3)C4=CC=CS4,0,1
135870943,432.5,C24H24N4O2S,112,3.9,31,2,5,6,CC1=CC(=C(C(=C1)C)C2=CSC(=N2)NC(=O)CCCC3=NC4=CC=CC=C4C(=O)N3)C,0,1
135870934,358.4,C18H18N2O4S,93.2,2.2,25,1,5,7,C1=CC=C(C=C1)COC(=O)CCCN=C2C3=CC=CC=C3S(=O)(=O)N2,0,1
135870933,429.5,C21H23N3O5S,114,2.2,30,1,6,8,CC(C(=O)N(C)C1=CC=CC=C1)OC(=O)CCCN=C2C3=CC=CC=C3S(=O)(=O)N2,0,1
135858585,422.4,C19H16F2N2O5S,110,2.3,29,1,8,8,C1=CC=C2C(=C1)C(=NCCCC(=O)OCC(=O)C3=CC(=C(C=C3)F)F)NS2(=O)=O,0,1
135858574,429.9,C21H20ClN3O5,106,2.3,30,2,6,8,CC1=CC(=C(C=C1Cl)OC)NC(=O)COC(=O)CCC2=NC3=CC=CC=C3C(=O)N2,0,1
135856003,278.29,C11H10N4O3S,125,2.2,19,1,6,2,CC1C(=O)NC(=NN=CC2=CC(=CC=C2)[N+](=O)[O-])S1,0,1
135855998,249.29,C11H11N3O2S,120,1.5,17,3,6,3,C1=CC(=C(C=C1O)O)C(=NN)CC2=CSC=N2,0,1
135845987,358.4,C16H14N4O2S2,143,3.4,24,3,7,5,CC(=O)NC1=C(N=C(S1)NN=CC2=CC=C(C=C2)O)C3=CC=CS3,0,1
135831471,361.4,C15H15N5O4S,143,1.1,25,3,7,6,COC1=C(C=C(C=C1)NC(=O)CSC2=NC3=C(C=NN3)C(=O)N2)OC,0,1
135829861,293.28,C16H11N3O3,95.1,3.1,22,2,6,3,C1=CC2=C(C=CC(=C2N=NC3=CC=C(C=C3)C(=O)O)O)N=C1,0,1
135829859,363.4,C21H21N3O3,83,4.2,27,3,5,6,CC(C(=O)NN=CC1=C(C=CC2=CC=CC=C21)O)NC3=CC=C(C=C3)OC,0,1
135829855,293.32,C17H15N3O2,67.1,4.2,22,1,5,4,CCOC1=CC=C(C=C1)N=NC2=C3C=CC=NC3=C(C=C2)O,0,1
135829854,414.5,C20H22N4O4S,113,3.5,29,1,8,7,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)OC)N=NC2=C3C=CC=NC3=C(C=C2)O,0,1
135829849,324.4,C19H20N2O3,70.9,3.8,24,2,4,6,CCOC1=CC=C(C=C1)NC(=O)C(=C(C)O)C=NC2=CC=CC=C2,0,1
135829845,312.75,C12H17ClN6O2,111,NULL,21,4,7,5,CCOC1=C(C=CC(=C1)C=NNC2=NN=C(N2N)C)O.Cl,0,2
135825093,410.5,C21H22N4O3S,124,4.4,29,3,7,7,CCOC1=C(C=CC(=C1)C=NNC2=NC(=C(S2)NC(=O)C)C3=CC=C(C=C3)C)O,0,1
135825091,388.5,C17H16N4O3S2,152,3.4,26,3,8,6,CC(=O)NC1=C(N=C(S1)NN=CC2=CC(=C(C=C2)O)OC)C3=CC=CS3,0,1
135819602,412.5,C21H24N4O3S,90.5,2.1,29,1,6,4,CC1=CC=C(C=C1)S(=O)(=O)N2CCCN(CC2)CC3=NC4=CC=CC=C4C(=O)N3,0,1
135810472,417.3,C19H17BrN2O4,71.4,3.7,26,1,5,4,CC1=NN(C(=O)C1=CC2=CC(=C(C(=C2)OC)O)OC)C3=CC(=CC=C3)Br,0,1
135799467,497.6,C25H31N5O4S,120,2.6,35,2,7,10,CCCCN(CC1=NC2=CC=CC=C2C(=O)N1)CC(=O)NC3=CC(=CC=C3)S(=O)(=O)N4CCCC4,0,1
135796573,277.71,C9H16ClN5O3,132,NULL,18,7,6,2,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O.Cl,0,2
135779765,447.4,C22H13N3O6S,167,4.4,32,1,9,4,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=C(C#N)C2=NC(=CS2)C3=CC4=CC=CC=C4OC3=O,0,1
